q_scary,q_dream,q_desktop,q_better,q_remind,q_quote,q_sell,q_temperature,q_story,user_id,label
3,2,4,"People,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",40.0,30,"My friends and I are playing . It very hot there and the sun is shinning. Suddenly, there's an explosion happening on the playground. The fire makes the whole sky become red. But my friend and I just ignore the explosion and keep playing.",385668,1
4,1 - Not Likely,1 - Not Likely,"People,Cats",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",2.0,30,It grew another thing while playing a sport. It also kicked another object while the surrounding was on file and was left off balance.,311964,1
5,2,2,"Fireworks,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",9.99,40,"When Earthlings first set foot upon Mars and made contact with the Martians, they brought various Earthly activities with them. The Martians grew particularly fond of one such activity: . Over time, the Martians took the basic idea of  and adapted it for them selves. Years of evolution on the Red Planet have granted the Martians an extra limb, located around the hip area, intended to help for stability in the low gravity environment of Mars. The extra limb enabled Martians to juggle the ball in the air while travelling with their other two limbs. This, in combination with lower gravity, effectively increased the air time of the sphere during play, leading to maneuvers that are truly, out of this world.",413815,1
3,2,2,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",1.32,20,nan,419860,1
3,1 - Not Likely,1 - Not Likely,"People,Cats,Fireworks",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.99,25,Falling down a dessert while playing .,310571,1
6,1 - Not Likely,1 - Not Likely,Fireworks,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",10.0,10,"A young boy was excited about playing outdoors for the first time tomorrow morning. The night before the day he slept early so he could wake up early tomorrow and get his day started for . As he slept he had a sudden dream of himself or perhaps somebody playing something. In his dream, he notices that the person started to grow another pair of legs oddly. This was evident that his dream started to disappear as he was waking up and realized today is his day for playing outdoor activities for the first time!",3679,1
10 - Very Scarry,1 - Not Likely,1 - Not Likely,"People,Cars,Cats,Fireworks,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.09,80,"Imagining myself from behind with the scorching glow around me, I thought I must have looked at least half as ridiculous than I felt. Everything ere silent and unbearably loud at the same time, the weight of reality was slowly weighing down on me. Sometimes I wonder if I had not been dreaming this whole time, but no longer can I deny my fate. Am I going to be stuck here forever?",317813,1
2,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",5.0,30,"There was once a famous tournament held every millennium in which the collective universe gathered to watch the best of the best play the game of  on a multi-galactical scale. This was a stage where dreams were made or shattered. Humanity though a creator of the sport has yet to be able to get far in the tournament. however, through the millennium meta-humans have evolved and surpassed human capabilities. Together they have banded together to give humanity a fighting chance and for the first time since the tournament started humanity has arrived at the finals of the tournament. Being the dark horse of the tournament, they have pushed through thick and thin to be able to make the impossible possible. However, now they are contending against the reigning champions from mars, who have home advantage, and elusive capabilities that have given them the upper hand throughout the previous millenniums. The game begins as the first 45 min quarter begins and the Martians take possession of the ball. The game is slow to progress as both teams test each other's capabilities, but by the 30th minute, the Martians score the first goal of the game, as the team captain of the team strikes from just outside the 30-yard line, finding the back of the net. Humanity though demoralized has been in similar situations before and has yet to lose faith. The second quarter starts and humanity scores a goal. Morale is high and the crowd is in an uproar. However, with 10 minutes remaining the humanities captain gets injured from a dirty play by the frustrated Martians. A young bench player who has never seen the light of the field gets told by the coach to tighten up his laces and get ready for action. He takes his spot on the field, with a fiery spirit in his eyes. Time ends and there are 5 mins of added time. Humanity desperate to end the game passes the ball to the bench player whos in the goaltending area. He stops it with his chest and does a bicycle kick. Just as teh timer is counting down its final seconds the shot finds the back of the net and humanity makes its mark on galactic history.",24218,1
2,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,500,"Once upon a time a boy was born with three legs, ever since he was a child he wanted to play  but was always at a disadvantage due to his extra leg. This boy worked very  his skills and became an amazing player and in a climactic turn of event he demonstrated his  ability during the eruption of a volcano where the volcanic plumes of ash scorched the air around him. However, his determination and skill allowed him to play and maneuver in the scorching environment without getting hurt, the end!",286784,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,"People,Cars,Fireworks",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",5.0,40,"Once upon a time, a  match was called between friends. It seemed like a friendly game at first, but things start to get heated and unfortunately it didn't end well as one of them tackled the other pretty hard. However, they made up at the end as it is a contact sport played with passion and desire.",180223,1
3,1 - Not Likely,1 - Not Likely,Explosions,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",13.0,"1,500","On a good sunny day, Jason went out to play with his younger brother Jacob. As the two were playing, their equipment rolled down a cliff. Stressed about losing their belongings, the two boys ran anxiously down the hill. Jason, being the older brother chased after the equipment with all his speed, before coming to a sudden halt at the very edge of the cliff. Jacob crashed into Jason, pushing the brothers over the edge. The two boys fell into a void of darkness, screaming for their life. As the shout's from Jason's brother grew fainter and fainter, he began to feel the edge of his fingertips burn. Over time, his entire body started to heat up almost like he was being on a demon's barbeque. As it continued to get hotter, Jason gently closed his eyes and fainted. 

 

Jason later finds himself lying on the ground and waking up from what felt like the best sleep of his life. ""Jason"" he hears. ""It's me Jason""!  Jason turns his head around aggressively looking for the person who's calling his name. As he begins to search for the voice which sounded like his brother's, he notices the hot flaring sand below his feet. And suddenly Jason realizes that there's nothing but red sand dunes around him, and this voice must be coming from his head. ""But why does it sound so clear?"" Jason asks himself. ""It's because I'm here"". Jason jumps out of his skin and looks around for his brother. ""Jacob? Is that you? Where are you?"". ""I'm here"", Jacob says. ""I'm in your head"". 

 

A loud rumble comes from the distance as a large shadow appears in front of Jason. ""Hello, Jason and Jacob. Welcome to the fire pit. You are here because you have made a grave mistake, but we are giving you the chance to undo your wrongs and return to your normal life. However, should you fail to succeed, this will be the end of the journey for you"". ""How do I succeed"" Jason asks that shadow . ""You two will succeed, by working together and finding what you have lost"". ""Two?"" Jason asks. As he looks down, he notices there are more limbs on his body than a normal human. ""Wait what's going on, how is this possible"" Jason questions. ""I wish you two luck on this journey, farewell now"" says the shadow . ""Jacob, are you there""? ""Yes brother, it seems as if we are now one"". ""How is this possible""? ""I'm not sure, but we better work together as a team and get this body moving"". ""Damn right, Jason says, as the two brothers head on a journey through the fire dunes to obtain their equipment.",406232,1
5,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,28,We went to the park to play. I passed to my cousin and he passed back. Another person at the park decided to play. He was dressed for the occasion. I passed to him and he dove for it. We walked home and had a good time. ,410224,1
2,3,1 - Not Likely,People,"Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",2.0,200,"It was a searing hot afternoon and James was headed to a game. He had been gravely injured last summer and this was his first time back on the pitch after. He was very nervous about getting back to the game. However, he gathered his courage and gave the game his all. He scored the winning goal and secured a win for his team. ",394907,1
6,2,1 - Not Likely,,,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.0,26,"As I was watching a  game, a friend of mine offered me some weird mushrooms. I though, “Doubt they’re suspicious” and gave them a try. I later fell asleep and experienced a weird dream. I guess, the mushrooms were suspicious in the end. Don’t trust your friends. ",203011,1
3,3,2,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",5.0,32,"In the World Cup final, Julio Cesar of the Italian national team gets ready to take a penalty kick after being fouled at the last minute of the match. As he steps up to take the penalty he trips and falls. He has made a fool of himself and let his country down. ",408425,1
6,3,4,"People,Fireworks","Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",10.0,30,"It was a summer day and about 10 seconds left until the game ended. It was up to me for our team to win. But I suddenly felt a weird sensation. What was happening to my body. Was I mutating? Then I realized this was my super power, and before I knew it, our team had won the game. ",316631,1
6,1 - Not Likely,1 - Not Likely,Cats,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",0.0,105,"A female reporter went to the countryside to collect folklore and stayed at a seedy small hotel at night. After entering the room, the light in the room was very dim. Opposite the bed was a painting of a , sharp and lifelike, especially the eyes. When she went to bed at night, she always felt that someone was peeking at her in the dark, so she decided to try not to look at the painting. The following day, when she walked over to take a look, her scalp felt numb. It turned out that it was not a painting but a window.",86279,1
6,3,1 - Not Likely,People,"Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",5.0,21,"The  tackle was amazing, it saved the game for the team. Nobody has scored a goal like that before. The team was down but the tackle dominated the other team, causing a psychological effect leading them to lose.",211466,1
4,3,2,"People,Cats","Friends,Teacher","""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",10.0,60,"A  match is taking place on a hot day. The opposing team is about to score another goal. Just as he is about to kick, the player stumbles and falls on the ground. ",318267,1
7,4,4,Cars,Parents,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",10.0,-1,"A  player went to a race and his family came to watch his race. His parents hope that he can be a super star in playing . However, an accident breaks his dream. A collision with other player result in his left leg breaks into three pieces. ",298588,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,"People,Cars,Fireworks,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.0,20,I went to a hill and found a very tall tower. Then I decide to clime on top and looking to the far side of the hill. ,411590,1
2,1 - Not Likely,1 - Not Likely,Cats,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,30,He wants to play  but it is rather difficult with all the deformities,297994,1
7,1 - Not Likely,2,People,"Friends,Teacher","""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",100.0,40,The person is on fire.,209691,1
3,2,1 - Not Likely,Fireworks,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",5.0,28,"He was waiting for it to reach him. He had the target locked on. As soon as it reached him, he kicked it and it found the nets following a curved path. Goal!",389475,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>5,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",5.0,25,"On a hot summer day, one student on the field played a name that he was about to lose very soon. That's why he is trying so badly right now. But non the less he is going to get hurt anyway.",296109,1
8,3,1 - Not Likely,Explosions,"Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",0.05,40,"A  player with three legs trips as he attempts to kick the ball. The  player is playing on rough terrain. The sky is dark red as the  player trips on unleveled ground. The  player's jersey is blue with the number 2, tries to catch himself as he falls onto the rough ground.",291853,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.0,24,"There's a race going on on Mars. The competition environment is very bad, the wind at any time to blow sand and dust block the view. It is impossible to tell how many people are playing the game, their figures are overlapping. The game went on like this. Not sure when it will end.",210510,1
6,1 - Not Likely,1 - Not Likely,People,Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",0.0,30,I was playing my favourite sport doing tricks when suddenly my body transformed. I couldn't believe it. It didn't take me long to figure out was just a dream.,302643,1
3,2,1 - Not Likely,"People,Fireworks",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.5,40,An athlete falling down on his back after getting injured in the immense heat,391922,1
5,3,2,Explosions,Parents,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",3.0,25,"This is the deciding goal for Canada in the World Cup. They are facing off against Germany. Jeremy runs up for the shot, but is blocked by Gruber. A devastating blow.",206654,1
7,2,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",5.0,50,A  player is playing  on a super hot day. Suddenly he grew a third leg to kick the ball.,318725,1
7,1 - Not Likely,1 - Not Likely,"Fireworks,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",25.0,200,"It was the beginning of the second game. Player 3 has one chance to score a goal and bring home his team a trophy! But he trips and falls.

Ending the game, he has to cope with his failures and disappointment. How will he ever face his team again? Instead, he just lays there, unmoving, crying.

Nothing but a dissapointment.",207340,1
